 ,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ы,ь,э,ю,я
а,0.000627,0.001481,0.005449,0.001515,0.003789,0.001624,0.001598,0.004194,0.001235,0.000631,0.006166,0.009981,0.00507,0.006848,0.001306,0.003285,0.004238,0.008093,0.006908,0.000703,0.000234,0.001213,0.000169,0.001719,0.000973,0.000355,0.0,0.0,0.000332,0.001409,0.003122
б,0.000621,8e-06,6.7e-05,4e-06,2.6e-05,0.00181,3.6e-05,2.8e-05,0.000637,0.0,0.000101,0.000867,6e-05,0.000429,0.003246,3.6e-05,0.001233,0.000214,1.6e-05,0.001259,2e-06,7.9e-05,8e-06,8e-06,6e-06,0.000347,0.003009,0.000137,5.2e-05,0.0,0.000617
в,0.006586,0.000131,0.000421,0.000347,0.000639,0.005413,4.6e-05,0.000788,0.003212,0.0,0.00083,0.001278,0.000677,0.001769,0.00737,0.000842,0.001171,0.00373,0.000596,0.001112,1.4e-05,0.000119,4.6e-05,0.00025,0.000617,1e-05,0.003152,0.000226,0.000191,0.0,0.00031
г,0.001455,1.2e-05,3.6e-05,2e-06,0.000945,0.000607,4e-06,3.2e-05,0.000996,0.0,0.000286,0.001771,6.6e-05,0.000371,0.007785,6.9e-05,0.000915,5.6e-05,5.2e-05,0.00076,0.0,4e-05,0.0,7.7e-05,6e-06,0.0,0.0,0.0,0.0,0.0,6e-06
д,0.005082,7.7e-05,0.001064,6.2e-05,0.000135,0.005806,4.8e-05,7.7e-05,0.00264,0.0,0.000375,0.001151,0.000117,0.002402,0.004502,0.000238,0.00182,0.000423,0.000369,0.001787,2e-06,8.7e-05,0.000163,5.4e-05,6.6e-05,0.0,0.000814,0.000451,1.8e-05,1e-05,0.00048
е,0.000318,0.003126,0.004059,0.00339,0.004109,0.001665,0.001145,0.002269,0.001127,0.002827,0.002031,0.006235,0.006346,0.011221,0.001918,0.004093,0.007621,0.007533,0.006574,0.000867,0.000193,0.000822,0.000322,0.001588,0.001447,0.000973,0.0,0.0,0.000276,0.000129,0.000603
ж,0.001223,1.8e-05,2e-05,1.4e-05,0.000941,0.004518,1.4e-05,8e-06,0.002092,0.0,0.000103,3.8e-05,2e-05,0.001564,4.8e-05,2e-05,4e-06,2.6e-05,2e-05,0.000256,0.0,0.0,0.0,0.000441,0.0,0.0,0.0,2.4e-05,2e-06,0.0,6e-06
з,0.005903,0.000167,0.001008,0.000536,0.001133,0.000542,0.000127,6.2e-05,0.000578,0.0,0.000383,0.00027,0.000562,0.001725,0.000725,0.000177,0.000447,0.000147,0.000119,0.000439,0.0,4e-06,8e-06,3.2e-05,2e-05,0.0,0.000435,0.000145,2.8e-05,0.0,0.000351
и,0.00054,0.001092,0.004895,0.000802,0.002446,0.002662,0.000528,0.00266,0.001449,0.000877,0.003404,0.006535,0.00372,0.005774,0.001642,0.002241,0.003027,0.005189,0.00586,0.000512,0.000149,0.001747,0.000633,0.001568,0.001034,0.000161,0.0,0.0,0.000995,0.000294,0.001787
й,0.000127,0.000204,0.000701,0.000173,0.000693,8.3e-05,0.000135,0.000212,0.00033,0.0,0.000496,0.000179,0.000508,0.002106,0.000449,0.000818,0.000594,0.001012,0.000715,0.000165,4.6e-05,8.9e-05,4.2e-05,0.000548,0.000165,2e-06,0.0,0.0,8.1e-05,1e-05,0.000143
к,0.007716,0.000167,0.000592,9.9e-05,0.000228,0.001026,0.000181,0.000139,0.00318,0.0,0.000224,0.000681,0.00029,0.00108,0.008599,0.000474,0.002706,0.000548,0.001259,0.002245,5.8e-05,0.000135,4.8e-05,0.000274,2.4e-05,2e-06,0.0,0.0,9.9e-05,0.0,0.000107
л,0.011082,0.000109,0.000494,0.000343,0.000145,0.005024,0.000353,0.000133,0.009635,0.0,0.000657,0.000254,0.000546,0.000929,0.006942,0.000466,0.000228,0.001709,0.000179,0.001538,9.7e-05,8.9e-05,6e-06,0.000274,1.4e-05,1.6e-05,0.000685,0.005121,3.2e-05,0.000979,0.001814
м,0.003724,0.000308,0.000701,0.000197,0.000435,0.005143,9.3e-05,0.00025,0.003359,0.0,0.000546,0.000554,0.000502,0.004329,0.005848,0.001076,0.000298,0.000895,0.000375,0.002608,4.6e-05,6.9e-05,3.8e-05,0.000254,4.6e-05,0.0,0.001358,0.000179,8.9e-05,2e-06,0.000991
н,0.012275,0.000111,0.000335,0.000125,0.000282,0.013435,3.4e-05,0.000151,0.008883,0.0,0.000484,7.1e-05,0.000248,0.002987,0.012867,0.000435,0.000262,0.000637,0.000885,0.003912,3.2e-05,0.000274,0.000197,0.000308,0.0,0.00024,0.003547,0.00165,3.6e-05,0.000151,0.003005
о,0.000224,0.005104,0.009379,0.005969,0.007071,0.002692,0.003111,0.002245,0.002326,0.004077,0.003708,0.007718,0.00771,0.008345,0.001937,0.004278,0.006549,0.009612,0.009508,0.000792,0.000135,0.000897,0.00023,0.003382,0.001262,0.000409,0.0,0.0,0.000474,0.000258,0.001477
п,0.001814,0.0,0.0,0.0,2e-06,0.002267,0.0,0.0,0.000975,0.0,0.000119,0.001002,2e-06,0.00021,0.011763,4.6e-05,0.008643,1.6e-05,9.3e-05,0.000721,0.0,0.0,2e-06,1.6e-05,4e-06,0.0,0.000371,3.6e-05,0.0,4e-06,0.000204
р,0.010616,5.8e-05,0.000588,0.000288,0.000752,0.007662,0.000387,0.000115,0.006134,0.0,0.001264,0.000282,0.000214,0.001096,0.009401,0.000169,0.000113,0.000292,0.000592,0.002662,6e-06,0.000574,5e-05,8.9e-05,0.000189,1.6e-05,0.001528,0.000538,4.6e-05,0.000109,0.001407
с,0.001826,0.000175,0.001663,0.000139,0.00048,0.004583,9.7e-05,8.3e-05,0.001785,0.0,0.003013,0.003124,0.001532,0.001914,0.003174,0.002448,0.000427,0.000939,0.012877,0.000796,2e-05,0.00025,3.6e-05,0.000403,7.3e-05,0.0,0.000411,0.005086,0.000121,0.000191,0.004798
т,0.006507,0.000179,0.002803,0.000236,0.000447,0.005842,0.000149,0.000187,0.00472,0.0,0.001187,0.000566,0.000427,0.002271,0.014695,0.000729,0.004051,0.001812,0.000433,0.001636,1.6e-05,7.9e-05,5.8e-05,0.000268,5.4e-05,1.8e-05,0.001848,0.0085,8.3e-05,2.8e-05,0.000768
у,0.000228,0.000596,0.00158,0.001098,0.00234,0.000302,0.002525,0.000405,0.000625,0.000131,0.001278,0.00216,0.001658,0.001076,0.000413,0.001491,0.000905,0.002045,0.002209,0.000169,5.6e-05,0.000468,1.8e-05,0.001451,0.000957,0.000296,0.0,0.0,7.3e-05,0.000951,0.00027
ф,0.000345,2e-06,1.6e-05,6e-06,1.4e-05,0.000504,0.0,8e-06,8.5e-05,0.0,2e-05,0.000103,1e-05,2.8e-05,0.000157,2.6e-05,0.000105,2.6e-05,2.4e-05,1.6e-05,1e-05,0.0,0.0,2e-06,2e-06,0.0,4.4e-05,0.0,4e-06,0.0,1.2e-05
