 , ,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ы,ь,э,ю,я
 ,0.0,0.00244,0.004896,0.014493,0.002992,0.00732,0.002803,0.00213,0.005402,0.007676,0.0,0.007706,0.003878,0.00916,0.017672,0.010455,0.017202,0.00494,0.014197,0.008298,0.004311,0.000563,0.001365,0.000406,0.00456,0.000669,4.3e-05,0.0,0.0,0.00229,8.3e-05,0.003725
а,0.019569,0.00022,0.000792,0.002876,0.000806,0.00229,0.000909,0.001125,0.002919,0.00015,0.000519,0.004114,0.007859,0.003209,0.003791,2e-05,0.000822,0.002899,0.00506,0.00493,5.7e-05,4.7e-05,0.000852,0.000103,0.000869,0.000689,0.00031,0.0,0.0,0.0,0.001145,0.001771
б,0.000306,0.000459,3e-06,2.3e-05,0.0,1.3e-05,0.001538,3.3e-05,0.0,0.000516,0.0,6e-05,0.000699,5e-05,0.00031,0.002576,0.0,0.001019,0.000133,3e-06,0.001118,0.0,4.7e-05,0.0,0.0,0.0,0.000273,0.00258,0.000113,0.0,0.0,0.000509
в,0.005489,0.005496,3e-06,2e-05,7e-06,0.000226,0.004554,0.0,0.000589,0.002486,0.0,0.000243,0.000839,0.000143,0.001092,0.005878,0.000107,0.000796,0.002623,0.0002,0.000829,0.0,5.3e-05,3.3e-05,4.3e-05,0.000506,3e-06,0.002616,0.000166,0.0,0.0,0.000223
г,0.000536,0.001198,0.0,0.0,0.0,0.000796,0.000453,0.0,0.0,0.000752,0.0,0.000216,0.001525,1.3e-05,0.00026,0.006444,0.0,0.000782,3e-06,3e-05,0.000612,0.0,1e-05,0.0,5e-05,7e-06,0.0,0.0,0.0,0.0,0.0,0.0
д,0.001092,0.004284,2e-05,0.000776,1.7e-05,6e-05,0.00494,3e-05,3e-06,0.002144,0.0,0.00027,0.000985,4.7e-05,0.001831,0.003592,9e-05,0.001554,0.000213,0.000246,0.001401,0.0,7.7e-05,0.000143,2e-05,3.7e-05,0.0,0.000676,0.000356,0.0,1e-05,0.000376
е,0.020328,7.7e-05,0.001748,0.001611,0.002636,0.00256,0.001142,0.000612,0.000985,7.7e-05,0.002307,0.000962,0.004594,0.004281,0.00742,0.00023,0.000859,0.005935,0.004384,0.004517,0.000107,0.00012,0.000459,0.000216,0.000822,0.001222,0.000869,0.0,0.0,0.0,9.7e-05,0.0002
ж,0.000233,0.001039,1e-05,0.0,1.3e-05,0.000746,0.003805,7e-06,0.0,0.001817,0.0,8.7e-05,2.3e-05,1.3e-05,0.001212,2.3e-05,0.0,0.0,3e-06,0.0,0.000226,0.0,0.0,0.0,0.00032,0.0,0.0,0.0,1.3e-05,0.0,0.0,0.0
з,0.001242,0.00489,9.7e-05,0.000722,0.000369,0.000915,0.000453,8e-05,3e-06,0.000449,0.0,0.00024,0.000213,0.000406,0.001321,0.000499,0.0,0.000323,0.0,1.7e-05,0.000333,0.0,0.0,3e-06,7e-06,0.0,0.0,0.000379,0.00014,0.0,0.0,0.00027
и,0.015032,0.000226,0.000459,0.00252,0.000443,0.001355,0.001937,0.00026,0.001794,0.000529,0.000686,0.002177,0.005209,0.002493,0.003082,0.000396,0.000143,0.00201,0.003049,0.004181,0.0,8e-05,0.001345,0.000506,0.000955,0.000802,0.000113,0.0,0.0,0.000679,0.000223,0.001192
й,0.006344,0.0,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,7e-06,0.0,3e-05,1.3e-05,5.7e-05,0.001265,3e-06,0.0,0.000273,0.000286,0.000316,0.0,0.0,7e-06,1e-05,0.000353,7.3e-05,0.0,0.0,0.0,0.0,1e-05,0.0
