,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ь,ы,э,ю,я
а,0.00063,0.0015,0.0068,0.00189,0.00522,0.00014,0.00127,0.00545,0.0005,0.00012,0.00618,0.00866,0.0029,0.01273,0.00019,0.00112,0.00969,0.00304,0.00652,0.00016,0.00011,0.001,0.00176,0.00164,0.00072,0.00039,0.0004,0.00019,0.0,7e-05,0.00012
б,0.00154,1e-05,0.00037,6e-05,7e-05,0.00207,6e-05,0.00029,0.00157,0.00063,0.00016,0.00024,0.00043,0.00031,0.00427,0.0,0.00028,0.00028,0.00026,0.00085,0.0,0.00023,2e-05,1e-05,2e-05,0.0,0.00059,0.00049,0.0,0.00105,0.00034
в,0.00598,0.0001,0.00066,0.00019,0.00127,0.00596,1e-05,0.00108,0.00437,0.00088,0.00043,0.00081,0.00094,0.00052,0.00986,0.0,0.00083,0.00279,0.00306,0.00114,0.0,0.0006,0.00011,2e-05,1e-05,0.0,0.0012,0.00137,0.0,0.00025,0.00153
г,0.00137,1e-05,0.00046,7e-05,6e-05,0.00553,6e-05,0.00022,0.00093,0.00095,0.00013,0.0003,0.00027,0.00017,0.00566,0.0,0.00061,0.00015,0.00011,0.0012,0.0,0.00021,2e-05,1e-05,0.0,0.0,0.00037,0.00027,1e-05,0.00052,0.00067
д,0.00392,2e-05,0.00073,0.00101,0.0002,0.00473,0.00111,0.00098,0.00251,0.00127,0.00024,0.00035,0.00053,0.00067,0.00705,0.0,0.00264,0.00054,0.00043,0.00209,0.0,0.00052,4e-05,0.0,0.0,0.0,0.00072,0.00038,4e-05,0.00059,0.0009
е,0.0013,0.00235,0.00671,0.00037,0.00571,0.00231,0.0049,0.00078,0.00312,0.00373,0.00056,0.008,0.00561,0.00947,0.00247,0.00218,0.00811,0.00541,0.00609,0.00024,0.00019,0.00073,0.00139,0.00302,0.00238,0.00118,0.0022,0.00281,1e-05,5e-05,0.0003
ж,0.00127,3e-05,8e-05,0.0,0.00093,0.00123,2e-05,0.00011,0.0004,0.00033,0.00021,0.0005,0.00015,6e-05,0.00202,0.0,0.00028,0.00013,0.00011,0.00177,0.0,9e-05,1e-05,0.0,1e-05,0.0,0.0001,0.00022,0.0,0.00028,0.00043
з,0.00369,2e-05,0.00063,1e-05,0.00013,0.00207,2e-05,0.00015,0.00317,0.00068,0.00011,0.00017,0.00033,0.00017,0.00207,0.0,9e-05,6e-05,0.00018,0.00048,0.0,0.00021,2e-05,0.0,0.0,0.0,0.00044,0.00024,0.0,0.00017,0.00045
и,0.0016,0.00114,0.00385,0.00113,0.00262,0.00119,0.00151,0.00036,0.00194,0.00073,0.00276,0.01085,0.00458,0.00908,0.00237,0.00109,0.00838,0.00194,0.00364,0.00048,8e-05,0.00081,0.00028,0.00194,0.002,0.00072,0.0019,0.00122,0.0,0.00018,0.00068
й,0.00076,0.0,1e-05,0.0,0.0,0.00622,0.0,0.0,0.00163,0.0,0.0,0.0,0.0,0.0,0.00459,0.0,0.0,0.0,0.0,2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00393,0.00107,1e-05,0.00011
к,0.00609,9e-05,0.0008,0.00012,0.00037,0.00178,4e-05,0.0003,0.00396,0.00183,0.00018,0.00067,0.00115,0.00045,0.00319,9e-05,0.00047,0.00375,0.00074,0.00099,0.0,0.00035,6e-05,0.0003,0.00024,0.0,0.00293,0.00084,3e-05,0.00027,0.00089
л,0.01152,0.00093,0.00089,0.00112,0.00074,0.00704,0.0,0.00031,0.00716,0.00074,0.00075,0.00085,0.00071,0.00013,0.01016,0.00097,0.00034,0.00356,0.00037,0.00104,6e-05,0.00041,3e-05,6e-05,0.00062,0.0,0.00037,0.00188,0.00016,0.0001,0.0012
м,0.00564,4e-05,0.00058,1e-05,0.00021,0.00608,1e-05,0.00033,0.00388,0.00121,0.00018,0.00038,0.00045,0.00017,0.00659,0.0,0.00052,0.00086,0.00038,0.0012,0.0,0.00021,4e-05,1e-05,4e-05,0.0,0.00076,0.00192,4e-05,0.00016,0.00091
