,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ь,ы,э,ю,я
а,0.00054,0.00152,0.00666,0.00193,0.00514,0.00016,0.00118,0.00545,0.00052,0.00013,0.00607,0.0087,0.00297,0.01287,0.00021,0.00113,0.00987,0.00314,0.0067,0.00018,0.00012,0.00102,0.0018,0.00166,0.00073,0.00041,0.00033,0.00019,0.0,8e-05,0.00012
б,0.00158,1e-05,0.00037,4e-05,0.00012,0.00212,7e-05,0.00029,0.00158,0.00076,0.00017,0.00025,0.00041,0.00031,0.00439,0.0,0.00027,0.0003,0.00026,0.00084,0.0,0.00026,2e-05,0.0,1e-05,0.0,0.00064,0.00046,0.0,0.00106,0.00034
в,0.00587,9e-05,0.00069,0.0002,0.00138,0.006,1e-05,0.00114,0.00456,0.00086,0.00042,0.00077,0.00091,0.00048,0.01006,0.0,0.00082,0.0027,0.00307,0.00111,0.0,0.00061,0.00012,1e-05,2e-05,0.0,0.00117,0.00139,0.0,0.00023,0.00151
г,0.00126,1e-05,0.00045,6e-05,4e-05,0.00534,3e-05,0.00025,0.00094,0.001,0.00011,0.00029,0.00025,0.00018,0.00565,0.0,0.00067,0.00016,0.00013,0.00116,0.0,0.00019,1e-05,1e-05,0.0,0.0,0.0004,0.00026,0.0,0.00027,0.00065
д,0.00394,2e-05,0.00072,0.00108,0.00019,0.00463,0.00113,0.00105,0.00255,0.00141,0.00024,0.00041,0.00056,0.00073,0.00691,0.0,0.00257,0.00054,0.0004,0.00216,0.0,0.00049,5e-05,0.0,0.0,0.0,0.00077,0.00041,4e-05,0.00062,0.00088
е,0.00132,0.00231,0.00663,0.00042,0.00575,0.0024,0.00476,0.00071,0.00306,0.00375,0.00056,0.00805,0.0057,0.00952,0.00246,0.0021,0.00806,0.00544,0.00604,0.00025,0.00018,0.00076,0.00147,0.00297,0.00236,0.00116,0.00237,0.00292,1e-05,5e-05,0.00028
ж,0.00134,2e-05,0.0001,0.0,0.00092,0.00117,1e-05,0.00013,0.00043,0.00028,0.00022,0.00027,0.0002,7e-05,0.00206,0.0,0.00031,0.00012,0.00012,0.00177,0.0,9e-05,1e-05,0.0,0.0,0.0,0.00013,0.00022,0.0,0.00033,0.00041
з,0.00364,2e-05,0.00064,1e-05,0.00015,0.00216,2e-05,0.00015,0.00322,0.00072,0.00011,0.00017,0.00032,0.00016,0.00201,0.0,9e-05,8e-05,0.00016,0.00052,0.0,0.00023,1e-05,0.0,0.0,0.0,0.00046,0.00025,0.0,0.00015,0.00044
и,0.00161,0.00112,0.00392,0.0012,0.00267,0.00117,0.00148,0.00035,0.00185,0.00073,0.0028,0.01097,0.00453,0.00938,0.00238,0.00106,0.00816,0.00197,0.00377,0.00053,7e-05,0.00073,0.00028,0.00199,0.00197,0.00082,0.00191,0.00114,0.0,0.00019,0.00066
й,0.00073,0.0,1e-05,0.0,0.0,0.00612,0.0,0.0,0.00166,0.0,0.0,0.0,0.0,0.0,0.00446,0.0,0.0,0.0,0.0,4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039,0.0011,1e-05,8e-05
к,0.00613,8e-05,0.00081,0.00011,0.00037,0.00179,4e-05,0.0003,0.00389,0.0018,0.0002,0.00064,0.00112,0.00048,0.00322,8e-05,0.00046,0.00362,0.00077,0.00097,0.0,0.00034,5e-05,0.00029,0.00027,0.0,0.00261,0.00085,2e-05,0.00025,0.00091
л,0.01118,0.00094,0.00092,0.00109,0.00073,0.00707,0.0,0.00032,0.00703,0.00076,0.00076,0.00087,0.00069,0.00013,0.01018,0.00096,0.00036,0.00366,0.00037,0.00103,7e-05,0.00041,2e-05,7e-05,0.00057,0.0,0.00039,0.00188,0.00017,9e-05,0.00124
м,0.00571,3e-05,0.00052,1e-05,0.00021,0.00611,1e-05,0.00038,0.00376,0.00058,0.00019,0.00039,0.00046,0.00015,0.00671,0.0,0.00055,0.00086,0.00035,0.00119,0.0,0.00019,3e-05,1e-05,4e-05,0.0,0.00074,0.00188,5e-05,0.00015,0.00088
н,0.00593,0.00027,0.00158,0.00053,0.00255,0.01052,0.00071,0.00195,0.00624,0.00214,0.00059,0.00082,0.00232,0.00359,0.01088,0.0001,0.00176,0.00156,0.00189,0.00112,0.0,0.00041,6e-05,0.00074,0.00038,4e-05,0.00207,0.00139,1e-05,0.0004,0.00154
о,0.00145,0.00273,0.00889,0.01051,0.00528,0.00156,0.00021,0.00074,0.00195,0.00048,0.01248,0.00746,0.00448,0.01007,0.00132,0.00873,0.01289,0.00339,0.01119,0.0005,9e-05,0.00242,0.00031,0.0001,0.00024,1e-05,0.0017,0.00071,0.0,0.00016,0.00052
п,0.00281,2e-05,0.00105,0.00015,0.00046,0.00355,4e-05,0.0004,0.00247,0.00171,0.00037,0.00047,0.00095,0.00061,0.00308,2e-05,0.00027,0.00172,0.00073,0.00141,0.0,0.0012,6e-05,1e-05,3e-05,1e-05,0.00108,0.00066,0.0,0.00024,0.00084
р,0.00629,0.00199,0.00091,0.00081,0.00251,0.00935,2e-05,0.0004,0.00248,0.00073,0.00188,0.00012,0.00025,0.00016,0.0134,0.0081,0.00068,0.00054,0.00378,0.0006,0.00013,0.00038,1e-05,2e-05,1e-05,1e-05,0.00025,0.00038,0.00017,0.00015,0.00025
с,0.00673,0.00018,0.00421,9e-05,0.00052,0.00791,5e-05,0.00017,0.00792,0.00414,0.00051,0.00233,0.00102,0.00095,0.0096,1e-05,0.00052,0.00179,0.00149,0.00173,0.0,0.00065,0.00011,1e-05,1e-05,0.0,0.00204,0.00124,3e-05,0.00044,0.00153
т,0.00562,1e-05,0.00076,3e-05,0.00021,0.00548,1e-05,0.00012,0.00462,0.00125,0.00061,0.00032,0.00028,0.00067,0.00635,0.0007,0.001,0.01403,0.00032,0.00171,0.0001,0.00017,3e-05,0.00283,0.00021,0.0,0.00048,0.00067,0.00149,0.00052,0.00179
у,0.00086,0.00088,0.00089,0.00038,0.00182,0.00066,0.00014,0.00041,0.00053,0.00023,0.00123,0.00162,0.00229,0.00251,0.00067,0.00067,0.00255,0.0011,0.00144,0.0001,1e-05,0.00023,0.00029,0.0004,0.00021,6e-05,0.00054,0.00028,0.0,5e-05,0.00021
ф,5e-05,0.0,1e-05,2e-05,2e-05,3e-05,0.0,1e-05,0.00027,8e-05,1e-05,1e-05,2e-05,9e-05,8e-05,0.0,7e-05,2e-05,0.0,3e-05,7e-05,4e-05,0.0,0.0,1e-05,0.0,4e-05,1e-05,0.0,0.0,2e-05
х,0.00127,2e-05,0.00018,1e-05,8e-05,0.00166,1e-05,4e-05,0.00279,0.00013,8e-05,4e-05,8e-05,0.00018,0.00058,0.0,0.00042,0.0003,8e-05,0.00044,0.0,6e-05,1e-05,0.0,0.0,0.0,0.00017,0.00309,0.0,9e-05,0.00037
ц,0.0001,4e-05,0.00012,0.0,0.00051,0.00051,0.0,1e-05,0.00116,0.00069,1e-05,1e-05,3e-05,0.00118,9e-05,2e-05,4e-05,0.00015,0.00024,2e-05,0.0,1e-05,0.0,0.0,0.0,0.0,0.00015,0.00045,0.0,5e-05,8e-05
ч,0.00134,0.0,0.00031,2e-05,8e-05,0.00153,0.0002,4e-05,0.00134,0.00039,0.0001,0.0004,0.00041,0.0003,0.00229,2e-05,6e-05,0.00038,0.00032,0.00116,0.0,0.00021,1e-05,1e-05,0.0,0.0,0.00054,0.00035,0.0,0.00016,0.00099
ш,0.00074,3e-05,0.00108,1e-05,0.00025,0.00076,0.0,5e-05,0.00096,0.00048,4e-05,2e-05,4e-05,0.0,0.00086,2e-05,0.00041,9e-05,6e-05,0.0005,0.0,5e-05,0.0,0.00026,0.0,0.0,0.00079,0.00075,3e-05,8e-05,0.00012
щ,0.00031,0.0001,2e-05,0.0,1e-05,0.00071,0.0,0.0,0.00025,4e-05,0.0,2e-05,3e-05,0.00019,0.00021,0.0,1e-05,0.0,2e-05,0.00022,0.0,1e-05,0.0,0.0,0.0,0.0,2e-05,2e-05,0.0,0.00054,0.00039
ь,0.0,0.00023,0.00035,0.0,0.00056,0.0,8e-05,0.00012,0.0,0.0,0.0,0.00407,0.00019,0.00155,0.0,0.00016,0.00044,0.00336,0.00609,0.0,0.0,0.0,0.0,0.00063,0.0005,3e-05,0.0,0.0,0.0,0.0,0.0
ы,0.0,0.00287,0.00281,0.0,0.00097,0.0,0.0,0.00048,0.0,0.0,0.0,0.00081,0.00079,0.00495,0.0,0.00025,0.00194,0.00101,0.00117,0.0,0.0,0.0,0.00043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
э,0.00088,0.0001,0.00034,0.0,2e-05,0.00022,1e-05,3e-05,0.00056,9e-05,6e-05,0.00011,0.00014,3e-05,0.00061,0.0,4e-05,0.00011,0.0001,0.00068,0.0,4e-05,7e-05,0.0,0.0,0.0,0.00038,0.00013,0.0,5e-05,0.00018
ю,0.00056,0.0,2e-05,0.0,0.00011,0.00016,0.0,0.0,0.00038,2e-05,2e-05,0.00137,2e-05,0.00022,0.00039,0.0,0.00011,0.00014,5e-05,0.00113,0.0,2e-05,0.0,0.0,0.0,0.0,0.00112,0.0,0.0,4e-05,4e-05
я,0.00189,0.00041,0.0004,0.0,0.00041,0.00033,0.0,0.00028,0.0012,4e-05,2e-05,0.0018,0.00067,0.00133,0.00058,0.00028,0.00104,0.00358,0.00067,9e-05,0.0,3e-05,0.0,0.0,0.0,0.0,0.0018,4e-05,1e-05,1e-05,0.00014
