,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ь,ы,э,ю,я, 
а,6e-05,0.00133,0.00542,0.00165,0.00437,1e-05,0.00093,0.00452,0.00014,0.0,0.00512,0.00725,0.00234,0.01067,1e-05,0.00099,0.00848,0.00249,0.00556,2e-05,0.0001,0.00078,0.00146,0.00137,0.00059,0.00034,0.0,0.0,0.0,2e-05,0.0,0.00218
б,0.00056,0.0,0.0,1e-05,1e-05,0.00108,5e-05,0.00014,0.00054,2e-05,0.0,1e-05,1e-05,2e-05,0.00301,0.0,0.0001,0.00011,0.0001,0.00049,0.0,0.0,0.0,0.0,0.0,0.0,0.00025,0.00026,0.0,0.00079,1e-05,0.00646
в,0.00318,6e-05,4e-05,0.00029,0.0011,0.00355,0.0,0.00087,0.00191,9e-05,0.00013,6e-05,3e-05,1e-05,0.00704,0.0,0.00051,0.00201,0.00222,0.0004,0.0,0.00016,4e-05,0.0,1e-05,0.0,3e-05,0.00076,0.0,1e-05,0.00042,0.01435
г,0.00075,0.0,0.0,5e-05,1e-05,0.00422,6e-05,0.0004,0.00044,0.00012,0.0,0.00016,1e-05,0.00011,0.00435,0.0,0.00048,4e-05,1e-05,0.00093,0.0,2e-05,0.0,0.0,0.0,0.0,3e-05,6e-05,0.0,8e-05,0.00017,0.00376
д,0.00209,2e-05,0.00024,0.00087,0.0001,0.00312,0.00101,0.00072,0.00084,0.00024,1e-05,8e-05,2e-05,0.00048,0.00479,0.0,0.002,0.00021,0.0001,0.00159,0.0,1e-05,0.0,0.0,0.0,0.0,5e-05,0.00012,6e-05,0.00042,0.00038,0.00899
е,0.00058,0.00197,0.00533,0.00034,0.0048,0.0016,0.00418,0.00054,0.00191,0.00297,0.00035,0.00636,0.00463,0.00773,0.00172,0.00172,0.00675,0.00442,0.0048,0.00011,0.00015,0.00056,0.00122,0.00257,0.00201,0.00093,0.0013,0.00209,0.0,0.0,5e-05,0.00382
ж,0.00088,2e-05,0.0,0.0,0.00079,0.00069,1e-05,0.00017,0.00019,0.0,0.00013,0.00023,1e-05,1e-05,0.00149,0.0,0.00024,4e-05,0.0,0.0013,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.00011,0.0,0.00012,0.00012,0.00198
з,0.00253,1e-05,0.00031,0.0,3e-05,0.00122,0.0,6e-05,0.00209,1e-05,0.0,2e-05,0.0,4e-05,0.00113,0.0,5e-05,2e-05,2e-05,0.0003,0.0,1e-05,0.0,0.0,0.0,0.0,0.00014,8e-05,0.0,0.00018,0.00018,0.00462
и,0.00013,0.00085,0.00301,0.00099,0.00209,0.00012,0.00128,0.00027,0.00046,2e-05,0.00205,0.00889,0.00317,0.00753,0.00116,0.00088,0.00666,0.00153,0.00288,1e-05,7e-05,0.0003,0.00017,0.00171,0.00167,0.00071,0.00035,1e-05,0.0,0.0,2e-05,0.01024
й,0.00129,0.0,0.0,0.0,0.0,0.00522,0.0,0.0,0.00139,0.0,0.0,0.0,0.0,0.0,0.00366,0.0,0.0,0.0,0.0,4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00316,0.001,1e-05,0.00012,2e-05
к,0.00406,0.00012,0.00012,0.00014,0.00017,0.00077,3e-05,0.00033,0.00205,0.00018,1e-05,0.00018,0.00038,0.00022,0.00198,6e-05,0.00029,0.00278,0.00042,0.00046,0.0,1e-05,0.0,0.00026,0.00018,0.0,0.00114,0.00022,2e-05,7e-05,0.00041,0.00964
л,0.00914,0.00079,0.00059,0.00084,0.00056,0.00553,0.0,0.00027,0.00541,0.00021,0.00049,0.00054,0.00031,0.0,0.00822,0.00075,0.00053,0.003,0.00018,0.00066,8e-05,8e-05,1e-05,6e-05,0.00093,0.0,0.0,0.00152,0.00015,1e-05,0.00083,0.00459
м,0.0041,3e-05,0.00025,1e-05,0.0001,0.00448,0.0,0.00045,0.00221,0.00014,0.0,0.00017,5e-05,0.0,0.00494,0.0,0.00039,0.00058,0.00014,0.00074,0.0,2e-05,0.0,0.0,3e-05,0.0,0.00024,0.00137,3e-05,4e-05,0.00054,0.00613
н,0.00329,0.00022,0.0008,0.00043,0.00208,0.00758,0.00058,0.0016,0.00349,0.00084,0.00017,0.00036,0.00121,0.00264,0.0078,9e-05,0.00135,0.00088,0.00117,0.00033,0.0,5e-05,0.0,0.00058,0.00062,2e-05,0.00066,0.00074,1e-05,0.00018,0.00043,0.01388
о,5e-05,0.00222,0.00706,0.00872,0.00433,0.00028,0.00016,0.00058,0.00039,1e-05,0.01008,0.00592,0.0033,0.00834,6e-05,0.00721,0.01087,0.00265,0.00919,3e-05,9e-05,0.00183,0.0002,7e-05,0.00021,0.0,8e-05,2e-05,0.0,1e-05,1e-05,0.00964
п,0.00053,2e-05,0.00039,0.0,0.00014,0.00113,0.0,0.0,9e-05,8e-05,0.0,4e-05,0.00014,2e-05,0.00115,1e-05,8e-05,0.00109,0.00023,0.0007,0.0,0.0,0.0,0.0,2e-05,0.0,4e-05,9e-05,0.0,1e-05,2e-05,0.01524
р,0.00476,0.00169,0.00058,0.00064,0.00198,0.00757,1e-05,0.0003,0.00151,3e-05,0.00146,0.0,6e-05,6e-05,0.01103,0.00678,0.00046,0.00036,0.00297,0.00032,0.00011,0.00016,0.0,2e-05,0.0,0.0,0.0,0.00015,0.00013,2e-05,5e-05,0.00431
