,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ь,ы,э,ю,я, 
а,6e-05,0.00128,0.00554,0.00162,0.0043,1e-05,0.00099,0.00458,0.00015,0.0,0.00506,0.00726,0.00236,0.0108,1e-05,0.00096,0.00828,0.00259,0.0056,2e-05,0.0001,0.00082,0.00151,0.0014,0.00062,0.00035,1e-05,0.0,0.0,2e-05,0.0,0.00216
б,0.00055,0.0,0.0,0.0,2e-05,0.00106,5e-05,0.00015,0.00057,2e-05,0.0,1e-05,2e-05,1e-05,0.00298,0.0,0.00011,0.00011,0.0001,0.00047,0.0,0.0,0.0,0.0,0.0,0.0,0.00026,0.00024,0.0,0.00075,2e-05,0.00643
в,0.00319,7e-05,4e-05,0.00014,0.00103,0.00352,0.0,0.00083,0.0019,8e-05,0.00014,7e-05,3e-05,1e-05,0.0069,0.0,0.00054,0.00202,0.00222,0.00038,0.0,0.00016,5e-05,0.0,1e-05,0.0,3e-05,0.00074,0.0,2e-05,0.00043,0.0144
г,0.00072,0.0,0.0,4e-05,1e-05,0.00407,5e-05,0.00034,0.00041,9e-05,0.0,0.00017,1e-05,0.00011,0.00446,0.0,0.00051,4e-05,1e-05,0.00087,0.0,1e-05,0.0,0.0,0.0,0.0,3e-05,8e-05,1e-05,7e-05,0.00015,0.00379
д,0.00213,2e-05,0.00023,0.00088,9e-05,0.00307,0.00095,0.00072,0.00087,0.00022,1e-05,8e-05,2e-05,0.00046,0.00485,0.0,0.00207,0.00021,0.00011,0.00151,0.0,1e-05,0.0,0.0,0.0,0.0,7e-05,0.00012,8e-05,0.00037,0.00035,0.00914
е,0.00058,0.00194,0.00548,0.00034,0.00479,0.00166,0.00401,0.00056,0.00206,0.00305,0.0004,0.00641,0.00464,0.00796,0.00172,0.00177,0.00675,0.00451,0.00494,0.00011,0.00015,0.00056,0.00122,0.0025,0.00199,0.00098,0.00131,0.00226,1e-05,0.0,6e-05,0.00386
ж,0.0009,1e-05,0.0,0.0,0.00076,0.00075,1e-05,0.00017,0.00015,0.0,0.00013,0.0002,1e-05,1e-05,0.00154,0.0,0.00024,4e-05,0.0,0.00134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.00017,0.00013,0.0021
з,0.00259,1e-05,0.00033,0.0,3e-05,0.00127,0.0,6e-05,0.00218,1e-05,0.0,2e-05,0.0,3e-05,0.00118,0.0,5e-05,1e-05,1e-05,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.00011,8e-05,0.0,0.00013,0.00017,0.00459
и,0.00014,0.00091,0.00289,0.00096,0.00215,0.00012,0.00124,0.00026,0.00045,2e-05,0.002,0.00894,0.00309,0.00758,0.00119,0.00089,0.00673,0.00149,0.00289,2e-05,6e-05,0.0003,0.00019,0.00166,0.00165,0.00068,0.00032,2e-05,0.0,0.0,2e-05,0.01016
й,0.00062,0.0,0.0,0.0,0.0,0.00515,0.0,0.0,0.0014,0.0,0.0,0.0,0.0,0.0,0.00375,0.0,0.0,0.0,0.0,3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00328,0.00093,1e-05,0.00014,1e-05
к,0.00406,6e-05,0.00012,0.00012,0.00017,0.00078,3e-05,0.00033,0.00204,0.00014,1e-05,0.00017,0.00038,0.00024,0.00184,7e-05,0.00027,0.00276,0.00041,0.00042,0.0,1e-05,1e-05,0.00023,0.00022,0.0,0.00108,0.00029,2e-05,7e-05,0.00043,0.00962
