Биграмма;Частота;Вероятность;
 а;254;0,00248559;
 б;674;0,00659562;
 в;1 579;0,0154518;
 г;467;0,00456996;
 д;632;0,00618462;
 е;417;0,00408067;
 ж;225;0,0022018;
 з;341;0,00333695;
 и;1 094;0,0107057;
 к;899;0,00879742;
 л;255;0,00249538;
 м;620;0,00606719;
 н;1 437;0,0140622;
 о;1 084;0,0106078;
 п;1 568;0,0153441;
 р;469;0,00458954;
 с;1 561;0,0152756;
 т;693;0,00678155;
 у;349;0,00341524;
 ф;59;0,000577362;
 х;120;0,00117429;
 ц;47;0,000459932;
 ч;446;0,00436446;
 ш;45;0,000440361;
 щ;2;1,95716e-05;
 ъ;1;9,78579e-06;
 э;259;0,00253452;
 ю;3;2,93574e-05;
 я;142;0,00138958;
а ;1 526;0,0149331;
аа;1;9,78579e-06;
аб;59;0,000577362;
ав;357;0,00349353;
аг;75;0,000733934;
ад;126;0,00123301;
ае;95;0,00092965;
аж;161;0,00157551;
аз;410;0,00401217;
аи;16;0,000156573;
ай;62;0,000606719;
ак;420;0,00411003;
ал;779;0,00762313;
ам;254;0,00248559;
ан;498;0,00487332;
ао;2;1,95716e-05;
ап;96;0,000939436;
ар;208;0,00203544;
ас;413;0,00404153;
ат;443;0,0043351;
ау;10;9,78579e-05;
аф;38;0,00037186;
ах;103;0,00100794;
ац;21;0,000205502;
ач;108;0,00105687;
аш;84;0,000822006;
ащ;24;0,000234859;
аю;68;0,000665434;
ая;311;0,00304338;
б ;14;0,000137001;
ба;86;0,000841578;
бб;9;8,80721e-05;
бв;18;0,000176144;
бг;1;9,78579e-06;
бд;1;9,78579e-06;
бе;246;0,0024073;
бж;2;1,95716e-05;
би;76;0,00074372;
бк;16;0,000156573;
бл;67;0,000655648;
бм;4;3,91432e-05;
бн;37;0,000362074;
бо;290;0,00283788;
бр;138;0,00135044;
бс;19;0,00018593;
бт;1;9,78579e-06;
бу;92;0,000900293;
бх;7;6,85005e-05;
бщ;31;0,000303359;
бъ;10;9,78579e-05;
бы;288;0,00281831;
бь;6;5,87147e-05;
бя;41;0,000401217;
в ;589;0,00576383;
ва;550;0,00538218;
вб;1;9,78579e-06;
вг;1;9,78579e-06;
вд;27;0,000264216;
ве;549;0,0053724;
вз;33;0,000322931;
ви;330;0,00322931;
вк;12;0,000117429;
вл;131;0,00128194;
вм;16;0,000156573;
вн;197;0,0019278;
во;828;0,00810263;
вп;20;0,000195716;
вр;65;0,000636076;
вс;396;0,00387517;
вт;16;0,000156573;
ву;82;0,000802435;
вх;3;2,93574e-05;
вц;1;9,78579e-06;
вч;4;3,91432e-05;
вш;82;0,000802435;
вы;231;0,00226052;
вь;13;0,000127215;
вя;31;0,000303359;
г ;53;0,000518647;
га;102;0,00099815;
гв;5;4,89289e-05;
гд;80;0,000782863;
ге;87;0,000851364;
ги;112;0,00109601;
гк;6;5,87147e-05;
гл;130;0,00127215;
гн;15;0,000146787;
го;881;0,00862128;
гр;114;0,00111558;
гс;1;9,78579e-06;
гу;41;0,000401217;
гч;1;9,78579e-06;
д ;82;0,000802435;
да;382;0,00373817;
дб;2;1,95716e-05;
дв;60;0,000587147;
дд;4;3,91432e-05;
де;457;0,00447211;
дж;1;9,78579e-06;
ди;230;0,00225073;
дк;15;0,000146787;
дл;87;0,000851364;
дм;3;2,93574e-05;
дн;181;0,00177123;
до;353;0,00345438;
дп;7;6,85005e-05;
др;157;0,00153637;
дс;51;0,000499075;
дт;18;0,000176144;
ду;172;0,00168316;
дх;4;3,91432e-05;
дц;20;0,000195716;
дч;3;2,93574e-05;
дш;6;5,87147e-05;
дъ;6;5,87147e-05;
ды;57;0,00055779;
дь;32;0,000313145;
дю;1;9,78579e-06;
дя;34;0,000332717;
е ;1 885;0,0184462;
еа;11;0,000107644;
еб;109;0,00106665;
ев;129;0,00126237;
ег;311;0,00304338;
ед;284;0,00277916;
ее;175;0,00171251;
еж;94;0,000919864;
ез;144;0,00140915;
еи;21;0,000205502;
ей;261;0,00255409;
ек;115;0,00112537;
ел;578;0,00565619;
ем;420;0,00411003;
ен;951;0,00930629;
ео;59;0,000577362;
еп;86;0,000841578;
ер;669;0,00654669;
ес;438;0,00428618;
ет;341;0,00333695;
еу;6;5,87147e-05;
еф;2;1,95716e-05;
ех;67;0,000655648;
ец;29;0,000283788;
еч;143;0,00139937;
еш;66;0,000645862;
ещ;56;0,000548004;
ею;26;0,000254431;
ея;42;0,000411003;
ж ;20;0,000195716;
жа;124;0,00121344;
жб;9;8,80721e-05;
жд;109;0,00106665;
же;354;0,00346417;
жж;2;1,95716e-05;
жи;197;0,0019278;
жк;13;0,000127215;
жм;1;9,78579e-06;
жн;91;0,000890507;
жу;15;0,000146787;
жч;4;3,91432e-05;
з ;115;0,00112537;
за;462;0,00452103;
зб;23;0,000225073;
зв;102;0,00099815;
зг;38;0,00037186;
зд;82;0,000802435;
зе;41;0,000401217;
зж;10;9,78579e-05;
зз;6;5,87147e-05;
зи;25;0,000244645;
зк;12;0,000117429;
зл;23;0,000225073;
зм;29;0,000283788;
зн;239;0,0023388;
зо;61;0,000596933;
зп;2;1,95716e-05;
зр;19;0,00018593;
зс;11;0,000107644;
зт;1;9,78579e-06;
зу;60;0,000587147;
зч;1;9,78579e-06;
зш;1;9,78579e-06;
зъ;2;1,95716e-05;
зы;47;0,000459932;
зь;79;0,000773077;
зю;8;7,82863e-05;
зя;43;0,000420789;
и ;1 712;0,0167533;
иа;16;0,000156573;
иб;34;0,000332717;
ив;253;0,0024758;
иг;54;0,000528433;
ид;139;0,00136022;
ие;278;0,00272045;
иж;25;0,000244645;
из;272;0,00266173;
ии;87;0,000851364;
ий;123;0,00120365;
ик;212;0,00207459;
ил;466;0,00456018;
им;326;0,00319017;
ин;401;0,0039241;
ио;31;0,000303359;
ип;35;0,000342503;
ир;139;0,00136022;
ис;310;0,00303359;
ит;366;0,0035816;
иф;1;9,78579e-06;
их;207;0,00202566;
иц;122;0,00119387;
ич;146;0,00142873;
иш;39;0,000381646;
ищ;9;8,80721e-05;
ию;34;0,000332717;
ия;225;0,0022018;
й ;966;0,00945307;
йд;9;8,80721e-05;
йк;6;5,87147e-05;
йл;6;5,87147e-05;
йм;5;4,89289e-05;
йн;116;0,00113515;
йс;69;0,000675219;
йт;28;0,000274002;
йц;1;9,78579e-06;
йч;8;7,82863e-05;
йш;15;0,000146787;
к ;340;0,00332717;
ка;710;0,00694791;
кв;14;0,000137001;
кд;3;2,93574e-05;
ке;42;0,000411003;
кж;1;9,78579e-06;
ки;282;0,00275959;
кк;1;9,78579e-06;
кл;44;0,000430575;
кн;149;0,00145808;
ко;820;0,00802435;
кр;161;0,00157551;
кс;11;0,000107644;
кт;53;0,000518647;
ку;119;0,00116451;
кц;1;9,78579e-06;
кч;1;9,78579e-06;
кю;2;1,95716e-05;
л ;550;0,00538218;
ла;638;0,00624333;
лг;8;7,82863e-05;
лд;11;0,000107644;
ле;402;0,00393389;
лж;28;0,000274002;
ли;632;0,00618462;
лк;63;0,000616505;
лл;7;6,85005e-05;
лн;50;0,000489289;
ло;552;0,00540176;
лп;4;3,91432e-05;
лс;183;0,0017908;
лт;1;9,78579e-06;
лу;101;0,000988365;
лч;7;6,85005e-05;
лы;62;0,000606719;
ль;399;0,00390453;
лю;155;0,0015168;
ля;184;0,00180059;
м ;781;0,0076427;
ма;234;0,00228987;
мв;1;9,78579e-06;
мг;3;2,93574e-05;
ме;333;0,00325867;
ми;375;0,00366967;
мк;3;2,93574e-05;
мл;14;0,000137001;
мм;1;9,78579e-06;
мн;127;0,0012428;
мо;292;0,00285745;
мп;18;0,000176144;
мр;5;4,89289e-05;
мс;8;7,82863e-05;
мт;5;4,89289e-05;
му;210;0,00205502;
мф;1;9,78579e-06;
мч;3;2,93574e-05;
мы;81;0,000792649;
мь;8;7,82863e-05;
мя;40;0,000391432;
н ;320;0,00313145;
на;1 033;0,0101087;
нб;1;9,78579e-06;
нв;1;9,78579e-06;
нг;29;0,000283788;
нд;86;0,000841578;
не;825;0,00807328;
ни;851;0,00832771;
нк;31;0,000303359;
нл;1;9,78579e-06;
нн;507;0,0049614;
но;1 063;0,0104023;
нр;29;0,000283788;
нс;90;0,000880721;
нт;96;0,000939436;
ну;254;0,00248559;
нф;2;1,95716e-05;
нц;36;0,000352288;
нч;25;0,000244645;
нщ;20;0,000195716;
ны;471;0,00460911;
нь;113;0,00110579;
ню;10;9,78579e-05;
ня;302;0,00295531;
о ;1 943;0,0190138;
оа;5;4,89289e-05;
об;391;0,00382624;
ов;791;0,00774056;
ог;546;0,00534304;
од;517;0,00505925;
ое;286;0,00279874;
ож;157;0,00153637;
оз;119;0,00116451;
ои;121;0,00118408;
ой;569;0,00556811;
ок;141;0,0013798;
ол;659;0,00644884;
ом;505;0,00494182;
он;624;0,00610633;
оо;22;0,000215287;
оп;123;0,00120365;
ор;557;0,00545068;
ос;668;0,00653691;
от;611;0,00597912;
оу;6;5,87147e-05;
оф;30;0,000293574;
ох;49;0,000479504;
оц;20;0,000195716;
оч;153;0,00149723;
ош;82;0,000802435;
ощ;25;0,000244645;
оэ;4;3,91432e-05;
ою;60;0,000587147;
оя;83;0,000812221;
п ;7;6,85005e-05;
па;113;0,00110579;
пб;3;2,93574e-05;
пв;1;9,78579e-06;
пе;201;0,00196694;
пи;101;0,000988365;
пк;3;2,93574e-05;
пл;80;0,000782863;
пн;8;7,82863e-05;
по;866;0,00847449;
пп;16;0,000156573;
пр;615;0,00601826;
пс;2;1,95716e-05;
пт;3;2,93574e-05;
пу;48;0,000469718;
пч;2;1,95716e-05;
пы;26;0,000254431;
пь;87;0,000851364;
пя;20;0,000195716;
р ;121;0,00118408;
ра;896;0,00876807;
рб;19;0,00018593;
рв;39;0,000381646;
рг;21;0,000205502;
рд;23;0,000225073;
ре;683;0,00668369;
рж;36;0,000352288;
рз;2;1,95716e-05;
ри;472;0,00461889;
рк;14;0,000137001;
рл;7;6,85005e-05;
рм;20;0,000195716;
рн;71;0,000694791;
ро;682;0,00667391;
рп;5;4,89289e-05;
рс;24;0,000234859;
рт;86;0,000841578;
ру;273;0,00267152;
рх;7;6,85005e-05;
рц;12;0,000117429;
рч;9;8,80721e-05;
рш;27;0,000264216;
рщ;5;4,89289e-05;
ръ;1;9,78579e-06;
ры;134;0,0013113;
рь;36;0,000352288;
рю;12;0,000117429;
ря;76;0,00074372;
с ;243;0,00237795;
са;169;0,0016538;
сб;4;3,91432e-05;
св;203;0,00198652;
сг;2;1,95716e-05;
сд;28;0,000274002;
се;393;0,00384582;
сж;4;3,91432e-05;
си;136;0,00133087;
ск;513;0,00502011;
сл;246;0,0024073;
см;104;0,00101772;
сн;70;0,000685005;
со;324;0,0031706;
