Биграмма;Частота;Вероятность;
 ;1;9,83381e-06;
 а;233;0,00229128;
 б;632;0,00621497;
 в;1 561;0,0153506;
 г;441;0,00433671;
 д;620;0,00609696;
 е;369;0,00362868;
 ж;231;0,00227161;
 з;347;0,00341233;
 и;1 086;0,0106795;
 к;883;0,00868325;
 л;238;0,00234045;
 м;588;0,00578228;
 н;1 319;0,0129708;
 о;1 097;0,0107877;
 п;1 589;0,0156259;
 р;450;0,00442521;
 с;1 481;0,0145639;
 т;662;0,00650998;
 у;353;0,00347133;
 ф;56;0,000550693;
 х;125;0,00122923;
 ц;41;0,000403186;
 ч;411;0,0040417;
 ш;45;0,000442521;
 щ;3;2,95014e-05;
 ъ;2;1,96676e-05;
 э;250;0,00245845;
 ю;4;3,93352e-05;
 я;117;0,00115056;
а ;1 552;0,0152621;
аб;56;0,000550693;
ав;406;0,00399253;
аг;79;0,000776871;
ад;110;0,00108172;
ае;101;0,000993215;
аж;171;0,00168158;
аз;415;0,00408103;
аи;17;0,000167175;
ай;56;0,000550693;
ак;403;0,00396302;
ал;768;0,00755236;
ам;240;0,00236011;
ан;533;0,00524142;
ао;3;2,95014e-05;
ап;92;0,00090471;
ар;208;0,00204543;
ас;390;0,00383519;
ат;422;0,00414987;
ау;11;0,000108172;
аф;39;0,000383519;
ах;99;0,000973547;
ац;25;0,000245845;
ач;103;0,00101288;
аш;84;0,00082604;
ащ;25;0,000245845;
аю;71;0,0006982;
ая;267;0,00262563;
б ;18;0,000177009;
ба;93;0,000914544;
бв;15;0,000147507;
бг;1;9,83381e-06;
бд;1;9,83381e-06;
бе;251;0,00246829;
бж;1;9,83381e-06;
би;79;0,000776871;
бк;24;0,000236011;
бл;87;0,000855541;
бм;6;5,90029e-05;
бн;35;0,000344183;
бо;307;0,00301898;
бр;123;0,00120956;
бс;31;0,000304848;
бу;104;0,00102272;
бх;4;3,93352e-05;
бш;1;9,83381e-06;
бщ;26;0,000255679;
бъ;11;0,000108172;
бы;316;0,00310748;
бь;5;4,9169e-05;
бя;42;0,00041302;
в ;586;0,00576261;
ва;531;0,00522175;
вб;1;9,83381e-06;
вг;4;3,93352e-05;
вд;37;0,000363851;
ве;567;0,00557577;
вз;32;0,000314682;
ви;318;0,00312715;
вк;12;0,000118006;
вл;87;0,000855541;
вм;20;0,000196676;
вн;227;0,00223227;
во;809;0,00795555;
вп;20;0,000196676;
вр;72;0,000708034;
вс;374;0,00367784;
вт;16;0,000157341;
ву;80;0,000786705;
вх;4;3,93352e-05;
вч;3;2,95014e-05;
вш;73;0,000717868;
вы;254;0,00249779;
вь;17;0,000167175;
вя;23;0,000226178;
г ;56;0,000550693;
га;92;0,00090471;
гв;4;3,93352e-05;
гд;102;0,00100305;
ге;90;0,000885043;
ги;122;0,00119972;
гк;7;6,88367e-05;
гл;128;0,00125873;
гн;15;0,000147507;
го;941;0,00925361;
гр;113;0,00111122;
гс;1;9,83381e-06;
гу;49;0,000481857;
гч;1;9,83381e-06;
д ;88;0,000865375;
да;367;0,00360901;
дб;3;2,95014e-05;
дв;79;0,000776871;
дг;1;9,83381e-06;
де;488;0,0047989;
дж;1;9,83381e-06;
дз;1;9,83381e-06;
ди;231;0,00227161;
дк;25;0,000245845;
дл;88;0,000865375;
дм;2;1,96676e-05;
дн;182;0,00178975;
до;345;0,00339266;
дп;6;5,90029e-05;
др;175;0,00172092;
дс;46;0,000452355;
дт;17;0,000167175;
ду;167;0,00164225;
дх;2;1,96676e-05;
дц;15;0,000147507;
дч;6;5,90029e-05;
дш;6;5,90029e-05;
дъ;9;8,85043e-05;
ды;62;0,000609696;
дь;36;0,000354017;
дю;2;1,96676e-05;
дя;34;0,000334349;
е ;2 087;0,0205232;
еа;20;0,000196676;
еб;100;0,000983381;
ев;155;0,00152424;
ег;304;0,00298948;
ед;285;0,00280264;
еж;103;0,00101288;
ез;144;0,00141607;
еи;18;0,000177009;
ей;281;0,0027633;
ек;114;0,00112105;
ел;539;0,00530042;
ем;427;0,00419904;
ен;927;0,00911594;
ео;53;0,000521192;
еп;82;0,000806372;
ер;624;0,0061363;
ес;444;0,00436621;
ет;369;0,00362868;
еу;8;7,86705e-05;
еф;2;1,96676e-05;
ех;64;0,000629364;
ец;30;0,000295014;
еч;135;0,00132756;
еш;60;0,000590029;
ещ;55;0,000540859;
ею;19;0,000186842;
ея;39;0,000383519;
ж ;20;0,000196676;
жа;112;0,00110139;
жб;10;9,83381e-05;
жд;117;0,00115056;
же;322;0,00316649;
жи;201;0,0019766;
жк;12;0,000118006;
жм;1;9,83381e-06;
жн;91;0,000894877;
жо;2;1,96676e-05;
жс;2;1,96676e-05;
жу;17;0,000167175;
жч;4;3,93352e-05;
жю;1;9,83381e-06;
з ;116;0,00114072;
за;453;0,00445472;
зб;21;0,00020651;
зв;82;0,000806372;
зг;37;0,000363851;
зд;76;0,000747369;
зе;43;0,000422854;
зж;12;0,000118006;
зи;38;0,000373685;
зк;12;0,000118006;
зл;30;0,000295014;
зм;28;0,000275347;
зн;241;0,00236995;
зо;60;0,000590029;
зр;29;0,00028518;
зс;8;7,86705e-05;
зу;59;0,000580195;
зц;1;9,83381e-06;
зч;1;9,83381e-06;
зш;2;1,96676e-05;
зъ;2;1,96676e-05;
зы;48;0,000472023;
зь;70;0,000688367;
зю;7;6,88367e-05;
зя;37;0,000363851;
и ;1 773;0,0174353;
иа;13;0,00012784;
иб;32;0,000314682;
ив;253;0,00248795;
иг;51;0,000501524;
ид;139;0,0013669;
ие;276;0,00271413;
иж;34;0,000334349;
из;284;0,0027928;
ий;140;0,00137673;
ик;199;0,00195693;
ил;449;0,00441538;
им;301;0,00295998;
ин;388;0,00381552;
ио;32;0,000314682;
ип;31;0,000304848;
ир;141;0,00138657;
ис;310;0,00304848;
ит;361;0,00355;
иф;1;9,83381e-06;
их;231;0,00227161;
иц;117;0,00115056;
ич;141;0,00138657;
иш;52;0,000511358;
ищ;8;7,86705e-05;
ию;35;0,000344183;
ия;230;0,00226178;
й ;1 019;0,0100207;
йд;12;0,000118006;
йе;2;1,96676e-05;
йк;2;1,96676e-05;
йл;1;9,83381e-06;
йм;5;4,9169e-05;
йн;112;0,00110139;
йр;2;1,96676e-05;
йс;68;0,000668699;
йт;27;0,000265513;
йц;2;1,96676e-05;
йч;8;7,86705e-05;
йш;11;0,000108172;
к ;364;0,00357951;
ка;684;0,00672633;
кв;10;9,83381e-05;
кд;1;9,83381e-06;
ке;45;0,000442521;
кж;3;2,95014e-05;
ки;258;0,00253712;
кл;48;0,000472023;
кн;162;0,00159308;
ко;779;0,00766054;
кр;146;0,00143574;
кс;12;0,000118006;
кт;53;0,000521192;
ку;128;0,00125873;
кю;1;9,83381e-06;
л ;538;0,00529059;
ла;645;0,00634281;
лг;8;7,86705e-05;
лд;7;6,88367e-05;
ле;431;0,00423837;
лж;28;0,000275347;
ли;662;0,00650998;
лк;62;0,000609696;
лн;45;0,000442521;
ло;609;0,00598879;
лп;3;2,95014e-05;
лс;189;0,00185859;
лт;4;3,93352e-05;
лу;106;0,00104238;
лф;1;9,83381e-06;
лч;9;8,85043e-05;
лы;84;0,00082604;
ль;385;0,00378602;
лю;157;0,00154391;
ля;183;0,00179959;
м ;852;0,00837841;
ма;245;0,00240928;
мв;1;9,83381e-06;
мг;4;3,93352e-05;
ме;348;0,00342217;
ми;379;0,00372701;
мк;5;4,9169e-05;
мл;21;0,00020651;
мн;122;0,00119972;
мо;312;0,00306815;
мп;13;0,00012784;
мр;8;7,86705e-05;
мс;14;0,000137673;
мт;6;5,90029e-05;
му;225;0,00221261;
мф;2;1,96676e-05;
мч;3;2,95014e-05;
мы;92;0,00090471;
мь;12;0,000118006;
мя;30;0,000295014;
н ;322;0,00316649;
на;1 105;0,0108664;
нб;1;9,83381e-06;
нв;1;9,83381e-06;
нг;22;0,000216344;
нд;62;0,000609696;
не;898;0,00883076;
ни;892;0,00877176;
нк;29;0,00028518;
нл;1;9,83381e-06;
нм;1;9,83381e-06;
но;1 329;0,0130691;
нр;20;0,000196676;
нс;99;0,000973547;
нт;93;0,000914544;
ну;276;0,00271413;
нф;3;2,95014e-05;
нц;43;0,000422854;
нч;19;0,000186842;
нщ;16;0,000157341;
ны;641;0,00630347;
нь;110;0,00108172;
ню;17;0,000167175;
ня;288;0,00283214;
о ;1 842;0,0181139;
оа;4;3,93352e-05;
об;397;0,00390402;
ов;775;0,0076212;
ог;488;0,0047989;
