Биграмма;Частота;Вероятность;
а;13 536;0,0782071;
б;3 029;0,0175007;
в;8 379;0,0484114;
г;3 362;0,0194247;
д;4 858;0,0280681;
е;14 979;0,0865443;
ж;1 841;0,0106368;
з;3 015;0,0174198;
и;12 162;0,0702685;
й;2 419;0,0139763;
к;5 533;0,0319681;
л;8 060;0,0465683;
м;5 229;0,0302116;
н;12 496;0,0721982;
о;19 720;0,113936;
п;4 362;0,0252024;
р;7 552;0,0436333;
с;9 552;0,0551887;
т;9 920;0,0573149;
у;4 448;0,0256992;
ф;284;0,00164087;
х;1 644;0,00949855;
ц;661;0,00381907;
ч;2 349;0,0135718;
ш;1 213;0,00700836;
щ;576;0,00332796;
ъ;46;0,000265775;
ы;3 270;0,0188931;
ь;3 109;0,0179629;
э;522;0,00301596;
ю;1 190;0,00687547;
я;3 760;0,0217242;
ё;3;1,73331e-05;
