Биграмма;Частота;Вероятность;
 ;31 299;0,153143;
а;13 536;0,0662302;
б;3 029;0,0148206;
в;8 379;0,0409976;
г;3 362;0,0164499;
д;4 858;0,0237697;
е;14 979;0,0732907;
ж;1 841;0,00900782;
з;3 015;0,0147521;
и;12 162;0,0595074;
й;2 419;0,0118359;
к;5 533;0,0270724;
л;8 060;0,0394367;
м;5 229;0,0255849;
н;12 496;0,0611416;
о;19 720;0,0964879;
п;4 362;0,0213428;
р;7 552;0,0369511;
с;9 552;0,0467369;
т;9 920;0,0485375;
у;4 448;0,0217636;
ф;284;0,00138958;
х;1 644;0,00804392;
ц;661;0,0032342;
ч;2 349;0,0114934;
ш;1 213;0,00593508;
щ;576;0,00281831;
ъ;46;0,000225073;
ы;3 270;0,0159998;
ь;3 109;0,015212;
э;522;0,00255409;
ю;1 190;0,00582254;
я;3 760;0,0183973;
ё;3;1,46787e-05;
