  : 0.16464678482139297
о : 0.08966730411162493
е : 0.07288745772816296
а : 0.07119721399468072
и : 0.05583136187211497
н : 0.05511134994888545
т : 0.053850594377189684
с : 0.044238959992107155
л : 0.04389805638763931
в : 0.03445519447668988
р : 0.03420329526156585
к : 0.02907084875341376
м : 0.026181984587966355
д : 0.026017830266110528
у : 0.02373058539278435
п : 0.02180313656506032
ь : 0.017001097860745915
я : 0.016582945163640027
ы : 0.01601155377733369
б : 0.014641222047058972
г : 0.014563133290370523
з : 0.01334813940942229
ч : 0.012256576143884831
ж : 0.009779147363140008
й : 0.009067532080414626
х : 0.007816852477323822
ш : 0.0074461407990662936
ю : 0.004786504919381755
э : 0.0038309672300112724
щ : 0.002625629485642794
ц : 0.002553838209332446
ф : 0.0008967612058415427
