Bigram,Frequency
о ,27507
и ,25519
е ,24780
 п,22416
 н,21323
 с,21159
 в,20116
а ,19366
то,17197
ст,15517
но,14647
я ,14555
 о,14513
не,13771
на,13698
ь ,13599
 и,13307
по,12932
 к,11735
ра,11214
ли,11208
ко,11133
ни,11027
м ,11010
 т,10839
й ,10725
ал,10686
ер,10396
ен,10040
ро,9983
ре,9855
го,9836
от,9074
ос,8885
 д,8874
ов,8845
 м,8821
пр,8730
ка,8639
в ,8631
ор,8497
ол,8450
 б,8179
та,8153
те,8008
он,7865
ло,7697
ом,7636
ве,7611
ть,7577
во,7450
ел,7401
ы ,7050
л ,7037
ва,6943
у ,6941
од,6854
т ,6850
ог,6806
 з,6757
ес,6743
ны,6675
ет,6626
 ч,6561
ем,6553
ле,6533
х ,6488
ри,6452
ил,6425
за,6420
ат,6372
ла,6102
мо,5977
де,5956
да,5881
ся,5858
 у,5841
до,5584
ль,5557
ас,5537
ме,5535
 р,5377
ак,5355
ан,5262
об,5236
ой,5155
ти,5117
ит,5017
 г,5000
к ,4995
ми,4980
ин,4976
ск,4870
ам,4818
че,4689
сь,4662
се,4537
нн,4526
ис,4517
ед,4370
тр,4330
н ,4308
аз,4248
же,4235
им,4152
чт,4143
со,4088
бы,4065
ви,4039
ки,3909
сл,3867
 е,3789
ав,3772
ег,3727
 л,3709
с ,3582
ар,3570
ру,3551
ие,3498
из,3436
вы,3385
вс,3316
бо,3309
тв,3304
ну,3302
ю ,3295
ди,3259
ок,3174
ма,3078
 а,3064
их,3014
ей,2984
пе,2946
ад,2938
ив,2935
 э,2927
ше,2910
бе,2909
ши,2901
ож,2840
ые,2784
хо,2742
дн,2730
 я,2728
ое,2649
кр,2624
ик,2597
ча,2576
эт,2549
му,2475
ще,2446
ры,2445
ут,2408
мн,2390
ая,2386
оч,2379
ия,2366
уд,2352
ый,2338
ев,2336
ты,2312
св,2236
ез,2227
ыл,2219
си,2189
ым,2183
сп,2174
з ,2173
ых,2165
 ж,2152
мы,2121
лс,2115
чи,2108
ид,2062
ля,2047
зн,2031
са,2026
жи,1997
ту,1988
па,1985
д ,1973
ня,1965
ду,1953
оз,1947
гл,1945
ьн,1929
ек,1929
оп,1912
га,1903
вн,1880
ир,1875
тс,1852
лу,1830
ят,1819
сн,1809
тн,1790
ус,1781
 х,1775
ич,1752
ку,1721
ул,1702
уж,1670
ах,1648
ее,1644
жа,1628
др,1614
ий,1613
гд,1607
би,1596
рн,1590
р ,1575
ую,1550
еч,1540
бр,1528
чн,1509
ря,1506
зд,1505
уг,1499
еп,1496
еб,1489
ьс,1488
ум,1487
зв,1462
гр,1460
аж,1446
ыв,1424
аю,1401
вш,1385
ап,1371
 ш,1362
ьк,1310
жн,1304
пи,1283
ги,1250
ои,1248
пл,1245
еж,1243
ае,1243
рт,1242
су,1239
уч,1233
жд,1232
бл,1227
щи,1225
ыт,1221
см,1219
аб,1215
лю,1202
ач,1176
дв,1169
пу,1162
аш,1159
бу,1152
нт,1143
ял,1134
сс,1134
кл,1116
уп,1108
ещ,1106
ды,1097
ыс,1091
ии,1078
вр,1076
ша,1071
лы,1054
вл,1047
 ф,1039
зо,1034
ош,1030
уб,993
кт,988
ба,982
аг,981
нь,976
тк,966
г ,953
це,919
ай,895
оя,876
ющ,873
ук,873
еш,862
ян,853
лн,850
иб,832
ци,827
ун,826
ву,823
тя,820
ув,818
иш,816
яс,808
ца,804
ур,797
ют,784
чу,781
яд,763
ьш,759
зу,750
иг,749
уш,747
рь,743
пы,743
ох,741
иц,740
зе,733
ям,726
рр,724
ке,704
фе,697
дл,696
гу,694
зр,668
нс,661
юд,660
зм,659
ью,655
рв,647
ущ,645
ща,627
фо,620
иф,618
зы,607
шл,604
бн,600
дь,599
нц,598
ео,593
яв,589
зи,588
шь,584
ыш,582
мя,577
 ц,564
кн,553
дя,545
ех,540
вз,534
дс,530
ха,521
зл,520
нд,509
вп,503
ищ,493
ух,491
рк,491
йн,490
ыр,487
йс,483
сч,470
ио,469
ию,468
гн,455
шн,452
ц ,442
фа,441
ье,436
ящ,426
дк,425
йт,423
ьм,420
иж,420
зг,408
пя,403
чь,401
вд,401
ец,400
ощ,398
сы,397
рс,397
оо,392
уз,388
лк,387
рж,386
вя,384
хр,381
мл,380
жу,372
бя,371
шо,368
рм,368
рх,365
ге,364
аи,360
яз,356
лг,356
ср,355
лж,353
рш,349
ья,346
шк,345
лл,343
бс,343
ащ,339
ях,324
сх,321
чк,311
як,310
нк,310
хи,303
иа,303
фи,300
шу,298
тл,294
ея,290
ац,289
рд,288
б ,285
хн,282
сю,281
зк,280
рг,275
ип,271
ыч,269
сд,266
цы,263
кс,260
нг,259
уе,256
дц,255
хв,254
юб,252
мр,252
вт,251
зя,249
йд,247
яр,241
ын,241
вь,241
нч,239
ыб,236
вк,227
щу,226
ж ,223
кв,218
ык,217
йк,217
мк,216
ьз,215
ою,215
дт,213
пн,212
йш,209
ху,199
юч,196
бщ,196
рц,194
мп,194
цо,193
яч,192
еи,192
ып,191
яж,190
сш,187
зь,186
яю,185
ьт,185
дж,185
эк,183
тм,182
тд,181
пт,180
ау,180
яе,179
 ю,177
зб,177
лт,175
юс,170
ею,170
яг,166
оф,166
йч,162
дп,160
еу,156
тч,155
еф,155
гк,154
тп,153
ню,153
аф,150
 й,148
дш,147
бъ,147
хе,146
рч,146
мс,146
мг,140
ш ,135
рб,135
ъя,134
фр,134
эр,133
фу,133
лм,133
вм,133
ыг,132
ч ,132
ыд,131
ыз,130
кж,125
щн,124
чш,124
цу,124
рл,123
оц,121
нф,119
уй,116
рп,116
яя,115
хс,114
мь,114
пь,112
эн,111
ьб,111
рю,111
хл,108
уи,108
рз,108
бк,106
цв,104
сф,104
уя,102
п ,102
юж,101
пс,101
лч,100
еа,100
мб,99
зз,96
ьц,94
тт,94
лд,94
пк,93
ъе,92
оу,90
дм,90
ао,90
оэ,86
ьд,84
 щ,83
зж,83
сб,78
уа,77
яц,76
йи,76
мт,75
лп,74
вв,74
эл,73
сц,73
шт,72
ьи,71
пп,71
дз,71
ьч,70
жк,70
дг,70
вх,70
шм,69
жо,69
сг,68
лз,67
кц,67
ф ,66
дб,65
дч,64
бт,64
йм,62
бх,62
юн,61
щь,59
нз,57
дд,57
чо,54
ыж,52
фы,52
эф,51
мм,51
гс,50
км,48
йл,48
йо,47
дю,46
бь,46
юг,45
хм,45
уо,44
тщ,44
жь,44
юр,43
мч,43
тб,42
жч,42
дх,42
вч,42
юю,41
ьф,41
хэ,41
лв,41
ыя,40
чл,40
нщ,40
лб,40
йр,39
тю,38
сэ,38
бв,38
яи,37
юм,36
гч,36
гв,36
ьп,35
кх,35
бм,35
эп,34
уэ,34
нр,34
кз,33
жр,33
вц,33
тх,32
сж,32
жг,32
юй,31
йц,31
шп,30
хт,30
юк,29
