Bigram,Frequency
то,8828
ст,7914
но,7455
не,7079
на,6953
по,6449
ен,6082
ли,5903
ос,5855
ов,5840
ни,5729
ко,5677
ра,5581
ер,5507
ал,5413
от,5283
он,5149
ро,4992
го,4971
ре,4943
ес,4624
ор,4590
ол,4566
ом,4462
пр,4423
ка,4400
та,4258
те,4118
ло,4084
во,4045
од,4021
ел,3918
ет,3868
ве,3864
ть,3810
ем,3796
ас,3768
ин,3715
ан,3694
ат,3693
ог,3672
ва,3541
ис,3454
мо,3393
ле,3384
ны,3353
ил,3351
за,3276
ри,3256
об,3232
ак,3214
ла,3106
ит,3067
де,3000
ми,2960
да,2950
ся,2896
до,2880
ме,2853
ам,2843
ти,2798
ав,2771
ль,2768
ив,2738
ед,2732
ой,2602
ск,2576
им,2504
нн,2451
оп,2419
аз,2381
сь,2342
че,2317
ев,2303
се,2290
ви,2264
тр,2232
ок,2192
ег,2162
из,2159
ки,2158
со,2148
же,2134
вс,2115
еп,2112
чт,2059
бы,2054
ие,2048
ар,1992
ик,1983
сл,1971
тв,1898
ад,1854
ру,1813
ну,1785
ди,1695
ьн,1692
бо,1679
вы,1668
ма,1665
оч,1659
мн,1650
ож,1627
ап,1622
их,1608
ек,1599
ое,1580
ип,1560
хо,1558
ид,1557
ез,1510
пе,1490
ей,1483
ьс,1464
бе,1463
дн,1450
ые,1429
ше,1425
ши,1424
му,1416
лс,1410
оз,1403
кр,1403
ая,1383
ут,1350
ои,1350
уд,1343
вн,1328
ия,1327
ии,1298
ят,1289
ян,1284
тн,1282
эт,1276
ир,1263
ча,1255
еб,1242
ще,1240
св,1230
тс,1219
сп,1219
ры,1210
ео,1209
ус,1203
ым,1201
яв,1197
ич,1196
еч,1189
ыл,1176
ый,1175
ты,1146
си,1141
оо,1138
сн,1127
зн,1115
ых,1100
ио,1097
мы,1079
яс,1065
ля,1065
чи,1064
са,1059
ьк,1053
ту,1049
ыв,1030
па,1003
лу,1001
жи,1001
ня,988
ду,979
ее,955
га,951
ах,950
гл,937
иб,921
ум,919
ку,912
аб,910
рн,898
ыс,890
ул,883
уж,866
ун,838
уп,835
зд,832
гд,829
ач,822
еж,820
йс,819
уг,818
ий,815
др,815
бр,806
би,805
зв,798
аи,796
еи,791
яп,789
чн,787
ую,782
жа,782
ае,780
ыт,767
аж,761
ря,754
гр,752
ьв,744
аю,738
лн,736
уч,734
вш,726
аг,722
вп,715
сс,701
су,695
ув,685
мп,685
мс,677
ги,674
дв,667
см,666
рт,665
вр,656
пл,653
нт,653
пи,648
кт,647
вл,647
жн,646
ук,642
ьп,637
ял,636
оя,633
иг,632
тк,625
щи,624
аш,622
ао,621
кл,619
йн,619
жд,619
яд,617
бл,617
уб,602
пу,590
як,589
йп,584
бу,584
ош,581
ям,576
зо,572
ещ,571
лю,569
ды,566
нс,559
ша,547
кн,544
ву,534
мв,526
лы,526
ба,521
ын,508
ют,505
ьо,502
иш,501
еш,496
ып,495
яо,494
ур,491
вт,485
це,472
еу,469
яи,461
ьм,459
тя,458
ох,451
ьт,450
ьи,450
нь,447
яз,445
мк,440
ци,437
йк,433
йв,431
ай,428
йт,426
юд,421
ье,415
зу,414
хс,413
вк,413
ца,410
ке,407
уш,406
йи,406
вд,403
ьш,402
ющ,400
рв,399
иц,399
чу,397
лк,397
иф,397
зр,392
рр,391
иу,390
тп,389
хв,387
йд,386
мя,385
хн,383
хп,381
дл,381
оу,380
ех,377
зе,376
лв,372
зм,368
хи,364
дс,361
вз,361
пы,358
кс,357
гу,354
рь,349
ыи,344
фе,343
уи,339
ьд,338
зи,338
ьч,334
нд,332
ыш,328
лп,328
йо,326
фо,321
иа,319
бн,318
ью,316
ыр,315
ау,315
нц,312
ха,309
зы,309
дь,309
ща,307
шл,307
ущ,307
йм,307
нп,305
кв,304
ьз,303
яч,300
хр,299
иж,299
лт,297
ея,296
шь,292
зл,292
дя,292
ух,291
яр,290
рк,289
уо,288
уз,283
лч,278
ищ,276
сч,275
мм,274
юс,273
гн,272
яб,271
ья,270
мл,270
вв,267
лг,264
ыо,263
дк,263
ык,262
ьб,261
мр,259
зг,258
рс,253
мб,242
зк,242
нк,240
вя,240
яг,238
тм,238
мт,237
ях,232
оэ,231
шн,228
тд,228
ию,227
ыб,226
сд,226
фа,225
тт,224
мч,223
йч,222
мг,220
тл,219
лл,219
вм,217
мд,216
пя,215
ощ,214
нв,214
ящ,208
рж,207
ец,207
ср,206
ыч,205
кп,205
яе,204
рм,203
йр,202
сы,201
юп,200
ыд,200
вг,200
ыз,198
бс,198
йг,197
рш,196
шк,195
тч,195
лж,195
ху,194
