Bigram,Frequency
о ,13705
и ,12704
е ,12402
 п,11271
 н,10774
 с,10625
 в,10085
а ,9804
то,8573
ст,7867
но,7342
я ,7331
 о,7279
не,6900
на,6817
ь ,6771
 и,6635
по,6482
 к,5964
ли,5683
ра,5653
ни,5547
м ,5528
ко,5488
 т,5426
й ,5336
ал,5299
ер,5163
ро,5004
ен,4982
ре,4955
го,4945
от,4590
ов,4446
 д,4435
 м,4414
ос,4374
пр,4346
в ,4302
ка,4284
ор,4234
ол,4189
та,4055
 б,4024
те,3998
ло,3954
он,3896
ве,3828
ом,3810
ть,3734
во,3703
ел,3627
ва,3531
л ,3505
у ,3476
од,3426
ы ,3401
ет,3360
 з,3349
ес,3348
ны,3344
т ,3340
ог,3337
ем,3308
ле,3296
за,3268
ри,3250
 ч,3244
ил,3176
х ,3160
ат,3160
ла,3081
мо,3003
да,2949
ся,2932
де,2924
 у,2904
ас,2800
до,2793
ме,2774
ль,2764
 р,2707
ак,2700
ой,2600
об,2589
ан,2584
ти,2550
ит,2536
 г,2510
ми,2502
к ,2497
ин,2490
ск,2457
че,2414
ам,2403
сь,2367
ис,2294
нн,2291
се,2277
н ,2189
ед,2179
тр,2128
же,2108
бы,2093
аз,2093
им,2091
чт,2070
ви,2037
со,2030
ки,1961
 е,1934
сл,1906
ав,1866
 л,1838
ег,1821
ру,1808
ар,1797
с ,1772
ие,1745
из,1690
вы,1676
тв,1659
бо,1659
вс,1638
ди,1633
ю ,1626
ну,1607
ок,1580
их,1552
ма,1540
ад,1511
 а,1501
 э,1496
пе,1491
ив,1486
ше,1484
ей,1478
бе,1463
ые,1411
ши,1407
ож,1386
хо,1381
 я,1365
ое,1332
кр,1327
дн,1326
ча,1296
ик,1293
ут,1265
эт,1248
ще,1248
ры,1212
ый,1208
оч,1201
му,1193
ев,1190
ая,1166
ты,1164
уд,1163
мн,1162
ия,1135
св,1119
ез,1117
 ж,1113
ых,1105
ыл,1099
си,1087
лс,1081
з ,1081
мы,1076
ым,1072
сп,1066
ид,1060
ля,1051
чи,1034
зн,1002
оз,998
жи,998
ьн,986
оп,983
ня,979
са,978
ту,975
па,971
ду,969
га,963
д ,960
ек,944
ят,934
гл,934
ир,933
вн,921
тс,920
ус,918
лу,914
тн,905
сн,896
 х,892
ул,868
ич,866
уж,855
ку,828
др,828
ее,827
ий,823
ах,822
гд,813
жа,812
би,812
р ,797
ую,775
рн,768
чн,761
бр,756
гр,751
зд,748
ря,746
еч,746
аж,742
ум,741
еб,741
ьс,739
уг,734
еп,729
зв,720
вш,711
ап,696
аю,686
ыв,680
 ш,677
ьк,664
жн,664
пи,642
ои,642
ыт,633
бл,633
су,627
ги,623
уч,616
аб,616
пл,608
жд,605
лю,604
еж,601
бу,600
рт,598
см,597
щи,593
дв,591
ае,575
нт,573
ач,572
пу,571
кл,571
уп,569
ял,567
ша,567
ды,563
зо,560
аш,559
сс,556
лы,545
ещ,540
вл,536
аг,536
вр,535
ыс,529
ии,528
 ф,518
ба,506
уб,498
ош,492
г ,491
тк,470
це,462
нь,459
кт,458
ющ,453
ук,446
оя,445
еш,443
